nombre_normalizado,veredicto,categoria,metodo,razon
control de gestion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
control industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
coreografia y pedagogia en danza-teatro,EXCLUIR,,llm,"El programa se centra en danza y teatro, no en música."
cosmetologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
creacion audiovisual,EXCLUIR,,lexico,"Cine/audiovisual (se vincula a la videografía, no a la música)"
creacion e interpretacion musical,INCLUIR,Interpretación musical,lexico,Nombre con 'música'/'musical' (se incluye automáticamente)
criminalistica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
cur. esp. espc. odont.,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curriculum y didactica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curriculum y evaluacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curso actualizacion en derecho,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curso de actualizacion en terapia manual ortopedica de hombro,EXCLUIR,,lexico,Terapia no musical
curso de actualizacion en terapia manual ortopedica de rodilla,EXCLUIR,,lexico,Terapia no musical
curso de actualizacion para egresados de derecho,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"curso de especializacion de postitulo con mencion en primer ciclo, para profesores(as) de educacion basica",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curso de especializacion de postitulo en arquitectura del paisaje,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curso de especializacion de postitulo en arte terapia,EXCLUIR,,lexico,Terapia no musical
curso de especializacion de postitulo en atencion neonatal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curso de especializacion de postitulo en bioetica clinica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curso de especializacion de postitulo en biologia del conocer y comunicacion humana,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curso de especializacion de postitulo en citogenetica clinica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curso de especializacion de postitulo en composicion musical,INCLUIR,Composición y arreglos,lexico,Nombre con 'música'/'musical' (se incluye automáticamente)
curso de especializacion de postitulo en conservacion y restauracion arquitectonica,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
curso de especializacion de postitulo en conservacion y restauracion del patrimonio cultural mueble,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curso de especializacion de postitulo en contabilidad internacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curso de especializacion de postitulo en economia y finanzas p/abogados,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curso de especializacion de postitulo en economia y finanzas para abogados,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curso de especializacion de postitulo en enfermedades cronicas no transmisibles de origen nutricional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curso de especializacion de postitulo en evaluacion ambiental,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"curso de especializacion de postitulo en filosofia y educacion, m/ filosofia e infancia",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"curso de especializacion de postitulo en filosofia y educacion, m/ valores",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curso de especializacion de postitulo en gestion y administracion cultural en artes visuales,EXCLUIR,,lexico,Artes visuales/plásticas
curso de especializacion de postitulo en musica electronica,INCLUIR,Otros,lexico,Nombre con 'música'/'musical' (se incluye automáticamente)
curso de especializacion de postitulo en musicoterapia,INCLUIR,Musicoterapia,llm,El programa está explícitamente orientado a la musicoterapia.
curso de especializacion de postitulo en pedagogia para profesionales y tecnicos de nivel superior de la formacion diferenciada tecnico-profesional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curso de especializacion de postitulo en restauracion del patrimonio cultural mueble,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
curso de especializacion de postitulo en terapias de arte m/musicoterapia,INCLUIR,Musicoterapia,llm,Menciona musicoterapia como parte del contenido del curso.
curso de especializacion de postitulo en terapias de arte mencion en arte terapia,EXCLUIR,,lexico,Terapia no musical
curso de especializacion de postitulo en terapias de arte mencion musicoterapia,INCLUIR,Musicoterapia,llm,La mención a musicoterapia indica que la música es parte central del programa.
"curso de especializacion de postitulo en terapias de arte, mencion arte terapia",EXCLUIR,,lexico,Terapia no musical
"curso de especializacion de postitulo en terapias de arte, mencion en arte terapia",EXCLUIR,,lexico,Terapia no musical
"curso de especializacion de postitulo en terapias de arte, mencion musicoterapia",INCLUIR,Musicoterapia,llm,Incluye la disciplina de musicoterapia dentro de las terapias de arte.
curso de especializacion de postitulo para profesores de educacion general basica con mencion en ciencias naturales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curso de especializacion para profesores de educacion general basica con mencion en educacion matematica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curso de especializacion para profesores de educacion general basica con mencion en estudio y comprension de la naturaleza,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curso de especializacion para profesores de educacion general basica con mencion en estudio y comprension de la sociedad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
curso de especializacion para profesores de educacion general basica con mencion en lenguaje y comunicacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"curso de especializacion para profesores de educacion general basica con, mencion educacion matematica",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"curso de especializacion para profesores de educacion general basica con, mencion estudio y comprension de la naturaleza",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"curso de especializacion para profesores de educacion general basica con, mencion estudio y comprension de la sociedad",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"curso de especializacion para profesores de educacion general basica con, mencion lenguaje y comunicacion",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
danza,EXCLUIR,,llm,"Solo menciona danza, sin relación con la música."
danza y coreografia,EXCLUIR,,llm,Enfocado exclusivamente en danza y coreografía.
data business intelligence,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
data science,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
decoracion de interiores,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
deportes y recreacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
derecho,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
derecho (p.e.),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
derecho executive,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
derecho licenciatura en ciencias juridicas y sociales bachillerato en ciencias sociales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
derecho y gestion empresarial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"derecho, licenciatura en ciencias juridicas y sociales",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
derecho-programa especial de titulacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
desarrollo de aplicaciones,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
desarrollo de competencias organizacionales para la superintendencia de salud,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
desarrollo de videojuegos y simulacion virtual,EXCLUIR,,lexico,"Cine/audiovisual (se vincula a la videografía, no a la música)"
desarrollo turistico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
desarrollo visual para animacion,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
desarrollo y diseno web,EXCLUIR,,lexico,Artes visuales/plásticas
dibujante proyectista,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
dibujo arquitectonico,EXCLUIR,,lexico,Artes visuales/plásticas
dibujo arquitectonico y estructural,EXCLUIR,,lexico,Artes visuales/plásticas
dibujo de arquitectura y obras civiles,EXCLUIR,,lexico,Artes visuales/plásticas
dibujo de proyectos de arquitectura e ingenieria,EXCLUIR,,lexico,Artes visuales/plásticas
dibujo tecnico,EXCLUIR,,lexico,Artes visuales/plásticas
dibujo tecnico arquitectonico y de obras civiles,EXCLUIR,,lexico,Artes visuales/plásticas
dibujo tecnico industrial,EXCLUIR,,lexico,Artes visuales/plásticas
dibujo tecnico proyectista,EXCLUIR,,lexico,Artes visuales/plásticas
dibujo y modelamiento arquitectonico y estructural,EXCLUIR,,lexico,Artes visuales/plásticas
dibujo y proyecto industrial,EXCLUIR,,lexico,Artes visuales/plásticas
diploma apreciacion musical,INCLUIR,Otros,lexico,Nombre con 'música'/'musical' (se incluye automáticamente)
diploma curaduria,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
"diploma de desarrollo profesional y laboral en compras publicas: modernizacion, transparencia y sostenibilidad",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de desarrollo profesional y laboral en comunicacion ambiental,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de desarrollo profesional y laboral en entrenamiento directivo para la gestion publica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de desarrollo profesional y laboral en inteligencia artificial para comunicadores,EXCLUIR,,llm,"Inteligencia artificial aplicada a la comunicación, no a la música."
diploma de innovacion y emprendimiento,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo actualizacion en enfermedades dermatologicas en pediatria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo atencion integral de matroneria en usuarias gineco-obstetrica de alta complejidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo audiologia neonatal y pediatrica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo bioseguridad en el laboratorio y riesgos asociados,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo buenas practicas en el uso de farmacos en la salmonicultura,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo clinica en neuropsiquiatria del adulto,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo condicion del espectro del autismo: enfoque transdisciplinario y calidad de vida,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diploma de postitulo cuidado de las personas con heridas, lesiones y ostomias",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo cuidado integral del recien nacido quirurgico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo data science,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo de caracterizacion tratamiento y revalorizacion de recursos hidricos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo de cuidados paliativos para medicos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo de enfermeria en cuidados intensivos del adulto y adulto mayor en estado critico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo de proyectos ferroviarios y de metro,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo didactica de la ensenanza del idioma ingles en educacion inicial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diploma de postitulo ecografia obstetrica i,ii,iii trimestre y ginecologica",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en abogado(a) del nino(a),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en acoso sexual en la educacion superior abordaje desde un enfoque de genero y derechos humanos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en administracion de contratos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en alergias alimentarias que debemos saber hoy para su diagnostico y manejo,EXCLUIR,,llm,"Enfoque en alergias alimentarias, fuera del ámbito musical."
diploma de postitulo en alimentacion sostenible para un planeta en crisis con una vision local,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diploma de postitulo en analisis craneo facial morfofuncional, influencia en el diagnostico y tratamiento ortodontico preventivo en interceptivo",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en analisis de evidencias juridicas para las politicas publicas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en analisis econometrico weekend,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en analisis economico full time,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en analisis economico weekend,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en analisis instrumental organico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en analisis macroeconomico weekend,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en analisis microeconomico weekend,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en analisis politico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en aplicacion del haccp y sistemas de gestion de calidad para la inocuidad alimentaria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en aplicaciones del diagnostico molecular en microbiologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en aprendizaje colaborativo en red para el mejoramiento sistemico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en archivistica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en arquitectura hospitalaria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en arquitectura interior,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en arquitectura publica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en asistencia de la mujer gineco-obstetrica quirurgica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en asistencia del recien nacido de alto riesgo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en asuntos regulatorios de medicamentos productos biologicos cosmeticos dispositivos medicos y desinfectantes,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en atencion odontologica de pacientes que requieren cuidados especiales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en atencion primaria y salud familiar,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en atencion temprana en ninos de 0-3 anos con trastornos del neurodesarrollo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en autoridad sanitaria y gestion en salud publica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en baja vision ceguera y rehabilitacion visual,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en big data analytics en confiabilidad y mantenimiento,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en bioestadistica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en bioinformatica y biologia computacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en biologia del conocer y la comunicacion humana,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en buenas practicas de manufactura vigentes con enfasis en auditorias de sistemas de calidad validacion y analisis de riesgo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en business analytics (business analytics certificate),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diploma de postitulo en calidad, seguridad y acreditacion en instituciones de salud",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en cambio climatico y desarrollo bajo en carbono,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en cariologia avanzada,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en cariologia on line,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en ciberseguridad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en ciencias cognitivas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en ciencias de la actividad fisica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en ciencias e ingenieria de datos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en cine y educacion,EXCLUIR,,lexico,"Cine/audiovisual (se vincula a la videografía, no a la música)"
diploma de postitulo en cirugia de piso pelvico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en cirugia de piso pelvico (version b-learning),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en cirugia implantologia basica para odontologos generales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en clinica en psicosis esquizofrenicas y afines,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en clinica psicoanalitica con adultos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en clinica psicoanalitica infanto-juvenil,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en coaching y cambio organizacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en compliance laboral y responsabilidad de las empresas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en comunicacion de la ciencia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en comunicacion y gestion cultural,EXCLUIR,,llm,No especifica música; se enfoca en comunicación y gestión cultural en general.
diploma de postitulo en comunicacion y politicas publicas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en confiabilidad mantenimiento y gestion de activos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en conservacion y manejo de fauna silvestre,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en contactologia avanzada,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en contratacion publica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en control de gestion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en control de infecciones asociadas a la atencion en salud (iaas),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en crimen organizado transnacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en criminologia aplicada,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en criminologia genero y sistema penal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en cuestiones actuales del proceso penal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en cuidado respiratorio y manejo hemodinamico neonatal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en cuidados respiratorios para kinesiologos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en cultura arabe e islamica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en danza cuerpo artes y educacion,EXCLUIR,,lexico,Danza (dominio artístico no musical)
diploma de postitulo en derecho administrativo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en derecho ambiental especial elementos y ecosistemas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en derecho ambiental general evaluacion ambiental y otros intrumentos de gestion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en derecho de aguas medio ambiente y cambio climatico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en derecho de familia y de la ninez,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en derecho de la construccion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en derecho de los recursos naturales y desarrollo sustentable,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en derecho del consumidor y mercado regulado,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en derecho del consumo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en derecho deportivo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en derecho economico internacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en derecho internacional estrategias y desafios para chile,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en derecho laboral administrativo y sancionatorio,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en derecho penal economico y de la empresa,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en derecho procesal de familias,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en derecho procesal del trabajo y la litigacion laboral,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en derecho sindical,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en derecho y politica de la competencia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en desarrollo de proyectos de recursos naturales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en destrezas clinicas para el tratamiento de personas con trastornos por uso de sustancias,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en diagnostico anomalias maxilo faciales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en diagnostico citogenetico molecular de enfermedades geneticas y neoplasias,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en diagnostico y tratamiento de errores innatos del metabolismo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en dimensiones sociales de la conservacion de la naturaleza,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en diplomacia cultural,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en direccion de proyectos en ingenieria y construccion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en direccion financiera,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en direccion orquestal,INCLUIR,Gestión cultural,llm,La dirección de orquesta es una actividad ligada al ámbito musical.
diploma de postitulo en direccion y gestion de proyectos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en diseno estrategico de politicas publicas con foco en medio ambiente,EXCLUIR,,lexico,Artes visuales/plásticas
diploma de postitulo en diseno evaluacion y gestion de proyectos de interes publico,EXCLUIR,,lexico,Artes visuales/plásticas
diploma de postitulo en docencia universitaria en enfermeria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en dosimetria y fisica de radiaciones medicas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en ecografia obstetrica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en economia de minerales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en economia y politicas de la salud,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en edicion profesional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en educacion diferencial inclusiva con menciones (san felipe),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diploma de postitulo en educacion diferencial inclusiva con menciones en audicion y trastornos especificos del lenguaje, en deficit atencional y trastornos especificos del aprendizaje y en trastorno",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en educacion en ciencias basada en la indagacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en educacion en ciencias de la salud,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en educacion estadistica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en educacion popular y psicologia comunitaria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en eficiencia hospitalaria y el uso de la herramienta de grupos relacionados a diagnostico (grd),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en endodoncia clinica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en energias renovables,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en enfermedad celiaca intolerancias y alergias alimentarias,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en enfermedades transmisibles emergentes y re emergentes,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en enfermeria de urgencia en personas adultas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en enologia y vitivinicultura,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en ensenanza del espanol como segunda lengua y lengua extranjera,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en envejecimiento saludable estrategias para favorecer la autonomia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en epidemiologia veterinaria aplicada,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en ergonomia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en esquizofrenia: un enfoque interdisciplinario,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en estetica en odontologia restauradora,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en estrategias de intervencion clinica infanto juvenil,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en estrategias teatrales para la intervencion socioeducativa en instituciones y territorios,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
diploma de postitulo en estrategias y control de gestion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en estrategias y tacticas para la formacion en red,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en estructuras y tributacion corporativa,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en estudios asiaticos economia politica y relaciones internacionales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en estudios chinos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en estudios griegos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en estudios internacionales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en estudios internacionales avanzados,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en evaluacion de politicas publicas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en evaluacion e intervencion neuropsicologica en adultos con trastornos cognitivos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en evaluacion geoestadistica de yacimientos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en evaluacion y administracion de proyectos de arquitectura de la salud,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en evaluacion y preparacion de proyectos inmobiliarios,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en excelencia operacional y gestion de activos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en farmacia asistencial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en farmacia clinica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en farmacia clinica y toxicologia clinica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en fisiologia clinica del ejercicio,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en fonoaudiologia geronto-geriatrica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en fonoaudiologia geronto-geritrica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
