nombre_normalizado,nombre_original,veredicto,categoria,metodo,razon
diploma de postitulo en salud ocupacional,DIPLOMA DE POSTITULO EN SALUD OCUPACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en salud sexual y salud reproductiva con enfoque de curso de vida genero y derecho,DIPLOMA DE POSTITULO EN SALUD SEXUAL Y SALUD REPRODUCTIVA CON ENFOQUE DE CURSO DE VIDA GENERO Y DERECHO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en sedacion consciente con oxido nitroso en la clinica odontologica,DIPLOMA DE POSTITULO EN SEDACION CONSCIENTE CON OXIDO NITROSO EN LA CLINICA ODONTOLOGICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en seguridad internacional y estudios estrategicos viejos y nuevos desafios,DIPLOMA DE POSTITULO EN SEGURIDAD INTERNACIONAL Y ESTUDIOS ESTRATEGICOS VIEJOS Y NUEVOS DESAFIOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en sindrome de deficit atencional y sus implicancias en el aula,DIPLOMA DE POSTITULO EN SINDROME DE DEFICIT ATENCIONAL Y SUS IMPLICANCIAS EN EL AULA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en sismologia,DIPLOMA DE POSTITULO EN SISMOLOGIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en sistema de informacion geografica y analisis geoespacial,DIPLOMA DE POSTITULO EN SISTEMA DE INFORMACION GEOGRAFICA Y ANALISIS GEOESPACIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en sistemas de informacion,DIPLOMA DE POSTITULO EN SISTEMAS DE INFORMACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en sistemas de informacion geografica,DIPLOMA DE POSTITULO EN SISTEMAS DE INFORMACION GEOGRAFICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en sustentabilidad y cambio climatico,DIPLOMA DE POSTITULO EN SUSTENTABILIDAD Y CAMBIO CLIMATICO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en tasacion inmobiliaria,DIPLOMA DE POSTITULO EN TASACION INMOBILIARIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en tecnicas de laboratorio para el diagnostico de enfermedades infecciosas en medicina veterinaria,DIPLOMA DE POSTITULO EN TECNICAS DE LABORATORIO PARA EL DIAGNOSTICO DE ENFERMEDADES INFECCIOSAS EN MEDICINA VETERINARIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en tecnologias de la informacion,DIPLOMA DE POSTITULO EN TECNOLOGIAS DE LA INFORMACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en teledeteccion y procesamiento digital de imagenes,DIPLOMA DE POSTITULO EN TELEDETECCION Y PROCESAMIENTO DIGITAL DE IMAGENES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en teoria de genero desarrollo y politicas publicas,DIPLOMA DE POSTITULO EN TEORIA DE GENERO DESARROLLO Y POLITICAS PUBLICAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en teoria de sistemas sociales aplicada a la complejidad sociocultural,DIPLOMA DE POSTITULO EN TEORIA DE SISTEMAS SOCIALES APLICADA A LA COMPLEJIDAD SOCIOCULTURAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en terapia individualizada preparados magistrales y oficinales elaborados en farmacia,DIPLOMA DE POSTITULO EN TERAPIA INDIVIDUALIZADA PREPARADOS MAGISTRALES Y OFICINALES ELABORADOS EN FARMACIA,EXCLUIR,,lexico,Terapia no musical
diploma de postitulo en terapias luminicas en dermatologia,DIPLOMA DE POSTITULO EN TERAPIAS LUMINICAS EN DERMATOLOGIA,EXCLUIR,,lexico,Terapia no musical
diploma de postitulo en territorio y politicas publicas co-creacion de valor y produccion social del espacio,DIPLOMA DE POSTITULO EN TERRITORIO Y POLITICAS PUBLICAS CO-CREACION DE VALOR Y PRODUCCION SOCIAL DEL ESPACIO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en tomografia computada,DIPLOMA DE POSTITULO EN TOMOGRAFIA COMPUTADA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en transporte y comercio maritimo,DIPLOMA DE POSTITULO EN TRANSPORTE Y COMERCIO MARITIMO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en trastorno especifico del lenguaje / trastorno del desarrollo del lenguaje,DIPLOMA DE POSTITULO EN TRASTORNO ESPECIFICO DEL LENGUAJE / TRASTORNO DEL DESARROLLO DEL LENGUAJE,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en trastornos de la deglucion y de la alimentacion oral a lo largo del ciclo vital,DIPLOMA DE POSTITULO EN TRASTORNOS DE LA DEGLUCION Y DE LA ALIMENTACION ORAL A LO LARGO DEL CICLO VITAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en trastornos del espectro autista en ninos y adolescentes,DIPLOMA DE POSTITULO EN TRASTORNOS DEL ESPECTRO AUTISTA EN NIÑOS Y ADOLESCENTES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en traumatologia del adulto para medicos generales,DIPLOMA DE POSTITULO EN TRAUMATOLOGIA DEL ADULTO PARA MEDICOS GENERALES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en traumatologia dentaria,DIPLOMA DE POSTITULO EN TRAUMATOLOGIA DENTARIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en tributacion,DIPLOMA DE POSTITULO EN TRIBUTACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en tuneles y espacios subterraneos,DIPLOMA DE POSTITULO EN TUNELES Y ESPACIOS SUBTERRANEOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en ventilacion mecanica neonatal,DIPLOMA DE POSTITULO EN VENTILACION MECANICA NEONATAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en vestibulometria clinica y rehabilitacion vestibular,DIPLOMA DE POSTITULO EN VESTIBULOMETRIA CLINICA Y REHABILITACION VESTIBULAR,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en violencia de genero con enfasis en el ambito intrafamiliar,DIPLOMA DE POSTITULO EN VIOLENCIA DE GENERO CON ENFASIS EN EL AMBITO INTRAFAMILIAR,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo en zonas costeras,DIPLOMA DE POSTITULO EN ZONAS COSTERAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo enfermeria en cuidados de la persona en hemodialisis,DIPLOMA DE POSTITULO ENFERMERIA EN CUIDADOS DE LA PERSONA EN HEMODIALISIS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo gerontologia: un enfoque interdisciplinar en salud,DIPLOMA DE POSTITULO GERONTOLOGIA: UN ENFOQUE INTERDISCIPLINAR EN SALUD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo gestion en salud,DIPLOMA DE POSTITULO GESTION EN SALUD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo hemodinamia en el recien nacido critico,DIPLOMA DE POSTITULO HEMODINAMIA EN EL RECIEN NACIDO CRITICO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo informatica medica en imagenologia sistemas ris pacs,DIPLOMA DE POSTITULO INFORMATICA MEDICA EN IMAGENOLOGIA SISTEMAS RIS PACS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo interdisciplinario en derecho internacional de los derechos humanos,DIPLOMA DE POSTITULO INTERDISCIPLINARIO EN DERECHO INTERNACIONAL DE LOS DERECHOS HUMANOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo interdisciplinario en derechos de ninos ninas y adolescentes,DIPLOMA DE POSTITULO INTERDISCIPLINARIO EN DERECHOS DE NIÑOS NIÑAS Y ADOLESCENTES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo interdisciplinario en gestion social de emergencias y desastres,DIPLOMA DE POSTITULO INTERDISCIPLINARIO EN GESTION SOCIAL DE EMERGENCIAS Y DESASTRES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diploma de postitulo internacional en derechos de los pueblos indigenas, territorio y procesos de dialogo e implementacion de la consulta del convenio n°169 de la oit","DIPLOMA DE POSTITULO INTERNACIONAL EN DERECHOS DE LOS PUEBLOS INDIGENAS, TERRITORIO Y PROCESOS DE DIALOGO E IMPLEMENTACION DE LA CONSULTA DEL CONVENIO N°169 DE LA OIT",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo manejo de dolor y anestesiologia en animales de compania,DIPLOMA DE POSTITULO MANEJO DE DOLOR Y ANESTESIOLOGIA EN ANIMALES DE COMPAÑIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diploma de postitulo mindfulness (mfn), regulacion emocional y compasion para el cuidado de si y de los demas","DIPLOMA DE POSTITULO MINDFULNESS (MFN), REGULACION EMOCIONAL Y COMPASION PARA EL CUIDADO DE SI Y DE LOS DEMAS",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo odontologia restauradora estetica,DIPLOMA DE POSTITULO ODONTOLOGIA RESTAURADORA ESTETICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo pedagogia en y para la diversidad en educacion parvularia y primer ciclo de educacion basica,DIPLOMA DE POSTITULO PEDAGOGIA EN Y PARA LA DIVERSIDAD EN EDUCACION PARVULARIA Y PRIMER CICLO DE EDUCACION BASICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo quirurgico protesico en implantologia basica para odontologos generales,DIPLOMA DE POSTITULO QUIRURGICO PROTESICO EN IMPLANTOLOGIA BASICA PARA ODONTOLOGOS GENERALES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo refraccion clinica,DIPLOMA DE POSTITULO REFRACCION CLINICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo resolucion quirurgica de problemas endodonticos,DIPLOMA DE POSTITULO RESOLUCION QUIRURGICA DE PROBLEMAS ENDODONTICOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo salud cardiovascular para medicos generales o no especialistas,DIPLOMA DE POSTITULO SALUD CARDIOVASCULAR PARA MEDICOS GENERALES O NO ESPECIALISTAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo salud pelvica integral para aps,DIPLOMA DE POSTITULO SALUD PELVICA INTEGRAL PARA APS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo sistemas de informacion en salud,DIPLOMA DE POSTITULO SISTEMAS DE INFORMACION EN SALUD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma de postitulo trastornos severos de la personalidad,DIPLOMA DE POSTITULO TRASTORNOS SEVEROS DE LA PERSONALIDAD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en administracion de recursos humanos,DIPLOMA EN ADMINISTRACION DE RECURSOS HUMANOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en analisis y gestion financiera,DIPLOMA EN ANALISIS Y GESTION FINANCIERA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en analisis y mineria de datos,DIPLOMA EN ANALISIS Y MINERIA DE DATOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en business analytics,DIPLOMA EN BUSINESS ANALYTICS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en ciberseguridad,DIPLOMA EN CIBERSEGURIDAD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en competencias funcionales de alto desempeno,DIPLOMA EN COMPETENCIAS FUNCIONALES DE ALTO DESEMPEÑO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en comunicacion efectiva y resolucion de conflictos,DIPLOMA EN COMUNICACION EFECTIVA Y RESOLUCION DE CONFLICTOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en confiabilidad y gestion de activos,DIPLOMA EN CONFIABILIDAD Y GESTION DE ACTIVOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en control de gestion estrategica sostenible para jefaturas y gerencias,DIPLOMA EN CONTROL DE GESTION ESTRATEGICA SOSTENIBLE PARA JEFATURAS Y GERENCIAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en control de gestion estrategico,DIPLOMA EN CONTROL DE GESTION ESTRATEGICO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en control de gestion gerencial,DIPLOMA EN CONTROL DE GESTION GERENCIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en data science,DIPLOMA EN DATA SCIENCE,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en desarrollo de nuevos negocios,DIPLOMA EN DESARROLLO DE NUEVOS NEGOCIOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en direccion comercial y ventas,DIPLOMA EN DIRECCION COMERCIAL Y VENTAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en direccion de marketing,DIPLOMA EN DIRECCION DE MARKETING,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en direccion de proyectos,DIPLOMA EN DIRECCION DE PROYECTOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en direccion de proyectos de tecnologias de informacion con enfoques agiles y predictivos,DIPLOMA EN DIRECCION DE PROYECTOS DE TECNOLOGIAS DE INFORMACION CON ENFOQUES AGILES Y PREDICTIVOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en direccion de ventas,DIPLOMA EN DIRECCION DE VENTAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en direccion financiera,DIPLOMA EN DIRECCION FINANCIERA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en diseno de experiencia de usuario para productos digitales,DIPLOMA EN DISEÑO DE EXPERIENCIA DE USUARIO PARA PRODUCTOS DIGITALES,EXCLUIR,,lexico,Artes visuales/plásticas
diploma en estrategia de negocios,DIPLOMA EN ESTRATEGIA DE NEGOCIOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en estrategias de transformacion digital con enfoque en inteligencia artificial,DIPLOMA EN ESTRATEGIAS DE TRANSFORMACION DIGITAL CON ENFOQUE EN INTELIGENCIA ARTIFICIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en estudios latinoamericanos,DIPLOMA EN ESTUDIOS LATINOAMERICANOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en evaluacion y gestion de proyectos,DIPLOMA EN EVALUACION Y GESTION DE PROYECTOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en finanzas aplicadas,DIPLOMA EN FINANZAS APLICADAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en finanzas e inversiones,DIPLOMA EN FINANZAS E INVERSIONES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en formacion de pilotos privados,DIPLOMA EN FORMACION DE PILOTOS PRIVADOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en formacion pedagogica para instructores del sector transporte con mencion de uso de simulacion,DIPLOMA EN FORMACION PEDAGOGICA PARA INSTRUCTORES DEL SECTOR TRANSPORTE CON MENCION DE USO DE SIMULACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gerencia de seguridad de la informacion,DIPLOMA EN GERENCIA DE SEGURIDAD DE LA INFORMACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gerencia en tecnologia de la informacion,DIPLOMA EN GERENCIA EN TECNOLOGIA DE LA INFORMACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion comercial y ventas,DIPLOMA EN GESTION COMERCIAL Y VENTAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion de acciones,DIPLOMA EN GESTION DE ACCIONES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion de activos y mantenimiento,DIPLOMA EN GESTION DE ACTIVOS Y MANTENIMIENTO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion de activos y mantenimientos,DIPLOMA EN GESTION DE ACTIVOS Y MANTENIMIENTOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion de auditoria y analisis financiero,DIPLOMA EN GESTION DE AUDITORIA Y ANALISIS FINANCIERO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion de capital humano,DIPLOMA EN GESTION DE CAPITAL HUMANO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion de evaluacion y seleccion de personas en oragnizaciones,DIPLOMA EN GESTION DE EVALUACION Y SELECCION DE PERSONAS EN ORAGNIZACIONES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion de la convivencia escolar,DIPLOMA EN GESTION DE LA CONVIVENCIA ESCOLAR,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion de marketing integral,DIPLOMA EN GESTION DE MARKETING INTEGRAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion de marketing relacional,DIPLOMA EN GESTION DE MARKETING RELACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion de negocios e innovacion,DIPLOMA EN GESTION DE NEGOCIOS E INNOVACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion de operaciones,DIPLOMA EN GESTION DE OPERACIONES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion de personas y mejora continua,DIPLOMA EN GESTION DE PERSONAS Y MEJORA CONTINUA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion de personas y mejora continua fach,DIPLOMA EN GESTION DE PERSONAS Y MEJORA CONTINUA FACH,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion de procesos negocios y tecnologias de la informacion,DIPLOMA EN GESTION DE PROCESOS NEGOCIOS Y TECNOLOGIAS DE LA INFORMACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diploma en gestion de procesos, recursos humanos y estructura municipal","DIPLOMA EN GESTION DE PROCESOS, RECURSOS HUMANOS Y ESTRUCTURA MUNICIPAL",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion de proyectos en tecnologias de la informacion,DIPLOMA EN GESTION DE PROYECTOS EN TECNOLOGIAS DE LA INFORMACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion de retail,DIPLOMA EN GESTION DE RETAIL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion de ventas,DIPLOMA EN GESTION DE VENTAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion energetica,DIPLOMA EN GESTION ENERGETICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion logistica integral,DIPLOMA EN GESTION LOGISTICA INTEGRAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion por procesos y tecnologias de la informacion,DIPLOMA EN GESTION POR PROCESOS Y TECNOLOGIAS DE LA INFORMACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion y desarrollo de negocios,DIPLOMA EN GESTION Y DESARROLLO DE NEGOCIOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en gestion y liderazgo de personas,DIPLOMA EN GESTION Y LIDERAZGO DE PERSONAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en habilidades directivas,DIPLOMA EN HABILIDADES DIRECTIVAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en habilidades laborales especificas,DIPLOMA EN HABILIDADES LABORALES ESPECIFICAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en habilitacion de vuelo por instrumentos y piloto comercial,DIPLOMA EN HABILITACION DE VUELO POR INSTRUMENTOS Y PILOTO COMERCIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en historia,DIPLOMA EN HISTORIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en historia del arte europeo,DIPLOMA EN HISTORIA DEL ARTE EUROPEO,EXCLUIR,,lexico,Arte sin mención musical explícita
diploma en inspeccion de obras soldadas,DIPLOMA EN INSPECCION DE OBRAS SOLDADAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en integridad mecanica de equipos industriales estaticos,DIPLOMA EN INTEGRIDAD MECANICA DE EQUIPOS INDUSTRIALES ESTATICOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en inteligencia artificial,DIPLOMA EN INTELIGENCIA ARTIFICIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en inteligencia artificial aplicado a ciencias de la salud,DIPLOMA EN INTELIGENCIA ARTIFICIAL APLICADO A CIENCIAS DE LA SALUD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en inteligencia artificial aplicado a educacion,DIPLOMA EN INTELIGENCIA ARTIFICIAL APLICADO A EDUCACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en inversiones y mercado de capitales,DIPLOMA EN INVERSIONES Y MERCADO DE CAPITALES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en investigacion aplicada en salud con enfoque traslacional,DIPLOMA EN INVESTIGACION APLICADA EN SALUD CON ENFOQUE TRASLACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en lectura,DIPLOMA EN LECTURA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en lectura critica i,DIPLOMA EN LECTURA CRITICA I,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en lectura critica ii,DIPLOMA EN LECTURA CRITICA II,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en libre competencia,DIPLOMA EN LIBRE COMPETENCIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en liderazgo y coaching,DIPLOMA EN LIDERAZGO Y COACHING,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en literatura comparada,DIPLOMA EN LITERATURA COMPARADA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en mantenimiento 4.0 y preparacion en certificaciones internacionales,DIPLOMA EN MANTENIMIENTO 4.0 Y PREPARACION EN CERTIFICACIONES INTERNACIONALES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en mantenimiento industrial,DIPLOMA EN MANTENIMIENTO INDUSTRIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en marketing relacional,DIPLOMA EN MARKETING RELACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en marketing y direccion comercial,DIPLOMA EN MARKETING Y DIRECCION COMERCIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en marketing y ventas,DIPLOMA EN MARKETING Y VENTAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en mediacion mencion familia y salud,DIPLOMA EN MEDIACION MENCION FAMILIA Y SALUD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en mindfulness,DIPLOMA EN MINDFULNESS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en mindfulness relacional y practicas de bienestar,DIPLOMA EN MINDFULNESS RELACIONAL Y PRACTICAS DE BIENESTAR,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en negocios y administracion de empresas,DIPLOMA EN NEGOCIOS Y ADMINISTRACION DE EMPRESAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en operaciones de perforacion y tronadura,DIPLOMA EN OPERACIONES DE PERFORACION Y TRONADURA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en pediatria ambulatoria,DIPLOMA EN PEDIATRIA AMBULATORIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diploma en persona, familia y educacion","DIPLOMA EN PERSONA, FAMILIA Y EDUCACION",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en planificacion tributaria empresarial,DIPLOMA EN PLANIFICACION TRIBUTARIA EMPRESARIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en planificacion y control estrategico,DIPLOMA EN PLANIFICACION Y CONTROL ESTRATEGICO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en preparacion y evaluacion de proyectos,DIPLOMA EN PREPARACION Y EVALUACION DE PROYECTOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en prevencion y control de infecciones asociadas a la atencion en salud,DIPLOMA EN PREVENCION Y CONTROL DE INFECCIONES ASOCIADAS A LA ATENCION EN SALUD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en project management,DIPLOMA EN PROJECT MANAGEMENT,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en psicologia clinica mencion neurociencias,DIPLOMA EN PSICOLOGIA CLINICA MENCION NEUROCIENCIAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en psicologia positiva y bienestar,DIPLOMA EN PSICOLOGIA POSITIVA Y BIENESTAR,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diploma en recursos humanos, gestion de procesos y estructura municipal","DIPLOMA EN RECURSOS HUMANOS, GESTION DE PROCESOS Y ESTRUCTURA MUNICIPAL",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en redes y telecomunicaciones,DIPLOMA EN REDES Y TELECOMUNICACIONES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en regulacion,DIPLOMA EN REGULACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en regulacion economica,DIPLOMA EN REGULACION ECONOMICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en responsabilidad social empresarial,DIPLOMA EN RESPONSABILIDAD SOCIAL EMPRESARIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diploma en sistemas integrados de calidad, medio ambiente, salud ocupacional y responsabilidad social","DIPLOMA EN SISTEMAS INTEGRADOS DE CALIDAD, MEDIO AMBIENTE, SALUD OCUPACIONAL Y RESPONSABILIDAD SOCIAL",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en sistemas integrados de gestion,DIPLOMA EN SISTEMAS INTEGRADOS DE GESTION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diploma en sistemas integrados de gestion de calidad, medio ambiente, salud ocupacional y responsabilidad social","DIPLOMA EN SISTEMAS INTEGRADOS DE GESTION DE CALIDAD, MEDIO AMBIENTE, SALUD OCUPACIONAL Y RESPONSABILIDAD SOCIAL",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
