nombre_normalizado,nombre_original,veredicto,categoria,metodo,razon
administracion de empresas de turismo,ADMINISTRACION DE EMPRESAS DE TURISMO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas en marketing y comunicacion digital,ADMINISTRACION DE EMPRESAS EN MARKETING Y COMUNICACION DIGITAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas especialidad en proyectos y finanzas,ADMINISTRACION DE EMPRESAS ESPECIALIDAD EN PROYECTOS Y FINANZAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas finanzas,ADMINISTRACION DE EMPRESAS FINANZAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas gestion financiera,ADMINISTRACION DE EMPRESAS GESTION FINANCIERA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas hoteleras y servicios,ADMINISTRACION DE EMPRESAS HOTELERAS Y SERVICIOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas m. contabilidad y finanzas,ADMINISTRACION DE EMPRESAS M. CONTABILIDAD Y FINANZAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas m. marketing y ventas,ADMINISTRACION DE EMPRESAS M. MARKETING Y VENTAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas m. marketing y ventas (5 semestres),ADMINISTRACION DE EMPRESAS M. MARKETING Y VENTAS (5 SEMESTRES),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas m. recursos humanos,ADMINISTRACION DE EMPRESAS M. RECURSOS HUMANOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas m. recursos humanos (5 semestres),ADMINISTRACION DE EMPRESAS M. RECURSOS HUMANOS (5 SEMESTRES),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion : organizaciones de salud,ADMINISTRACION DE EMPRESAS MENCION : ORGANIZACIONES DE SALUD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion banca e instituciones financieras,ADMINISTRACION DE EMPRESAS MENCION BANCA E INSTITUCIONES FINANCIERAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion de empresas mencion banca e instituciones financieras, marketing y ventas, negocios, retail","ADMINISTRACION DE EMPRESAS MENCION BANCA E INSTITUCIONES FINANCIERAS, MARKETING Y VENTAS, NEGOCIOS, RETAIL",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion comercio exterior,ADMINISTRACION DE EMPRESAS MENCION COMERCIO EXTERIOR,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion contabilidad y finanzas (5 semestres),ADMINISTRACION DE EMPRESAS MENCION CONTABILIDAD Y FINANZAS (5 SEMESTRES),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion control de gestion,ADMINISTRACION DE EMPRESAS MENCION CONTROL DE GESTION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion en computacion,ADMINISTRACION DE EMPRESAS MENCION EN COMPUTACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion en gestion municipal,ADMINISTRACION DE EMPRESAS MENCION EN GESTION MUNICIPAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion finanzas,ADMINISTRACION DE EMPRESAS MENCION FINANZAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion de empresas mencion gestion de marketing, personal o finanzas","ADMINISTRACION DE EMPRESAS MENCION GESTION DE MARKETING, PERSONAL O FINANZAS",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion gestion de personas,ADMINISTRACION DE EMPRESAS MENCION GESTION DE PERSONAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion gestion de recursos humanos,ADMINISTRACION DE EMPRESAS MENCION GESTION DE RECURSOS HUMANOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion gestion financiera,ADMINISTRACION DE EMPRESAS MENCION GESTION FINANCIERA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion instituciones financieras,ADMINISTRACION DE EMPRESAS MENCION INSTITUCIONES FINANCIERAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion logistica,ADMINISTRACION DE EMPRESAS MENCION LOGISTICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion logistica.pev,ADMINISTRACION DE EMPRESAS MENCION LOGISTICA.PEV,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion marketing,ADMINISTRACION DE EMPRESAS MENCION MARKETING,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion marketing o comercio exterior,ADMINISTRACION DE EMPRESAS MENCION MARKETING O COMERCIO EXTERIOR,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion marketing pev,ADMINISTRACION DE EMPRESAS MENCION MARKETING PEV,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion marketing y personal,ADMINISTRACION DE EMPRESAS MENCION MARKETING Y PERSONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion marketing y ventas,ADMINISTRACION DE EMPRESAS MENCION MARKETING Y VENTAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion marketing y ventas o comercio exterior o gestion de capital humano,ADMINISTRACION DE EMPRESAS MENCION MARKETING Y VENTAS O COMERCIO EXTERIOR O GESTION DE CAPITAL HUMANO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion marketing y ventas o comercio exterior o gestion del capital humano,ADMINISTRACION DE EMPRESAS MENCION MARKETING Y VENTAS O COMERCIO EXTERIOR O GESTION DEL CAPITAL HUMANO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion de empresas mencion marketing y ventas, negocios, banca e instituciones financieras","ADMINISTRACION DE EMPRESAS MENCION MARKETING Y VENTAS, NEGOCIOS, BANCA E INSTITUCIONES FINANCIERAS",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion marketing.pev,ADMINISTRACION DE EMPRESAS MENCION MARKETING.PEV,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion personal,ADMINISTRACION DE EMPRESAS MENCION PERSONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion recursos humanos,ADMINISTRACION DE EMPRESAS MENCION RECURSOS HUMANOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion retail,ADMINISTRACION DE EMPRESAS MENCION RETAIL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion rrhh,ADMINISTRACION DE EMPRESAS MENCION RRHH,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas personal,ADMINISTRACION DE EMPRESAS PERSONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas plan comun,ADMINISTRACION DE EMPRESAS PLAN COMUN,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas turisticas,ADMINISTRACION DE EMPRESAS TURISTICAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas turisticas mencion turismo aventura,ADMINISTRACION DE EMPRESAS TURISTICAS MENCION TURISMO AVENTURA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion de empresas turisticas, mencion viajes y turismo","ADMINISTRACION DE EMPRESAS TURISTICAS, MENCION VIAJES Y TURISMO",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas y gestion de marketing,ADMINISTRACION DE EMPRESAS Y GESTION DE MARKETING,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas y recursos humanos,ADMINISTRACION DE EMPRESAS Y RECURSOS HUMANOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion de empresas, mencion finanzas","ADMINISTRACION DE EMPRESAS, MENCION FINANZAS",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion de empresas, mencion recursos humanos","ADMINISTRACION DE EMPRESAS, MENCION RECURSOS HUMANOS",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de hoteles y restaurantes,ADMINISTRACION DE HOTELES Y RESTAURANTES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de industria,ADMINISTRACION DE INDUSTRIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de la gestion publica,ADMINISTRACION DE LA GESTION PUBLICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de la prevencion de riesgos,ADMINISTRACION DE LA PREVENCION DE RIESGOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de la seguridad privada,ADMINISTRACION DE LA SEGURIDAD PRIVADA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de negocios de la industria del vino,ADMINISTRACION DE NEGOCIOS DE LA INDUSTRIA DEL VINO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de negocios internacionales,ADMINISTRACION DE NEGOCIOS INTERNACIONALES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de negocios turisticos y hoteleros,ADMINISTRACION DE NEGOCIOS TURISTICOS Y HOTELEROS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de negocios y gestion comercial,ADMINISTRACION DE NEGOCIOS Y GESTION COMERCIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de negocios y ventas,ADMINISTRACION DE NEGOCIOS Y VENTAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de operaciones,ADMINISTRACION DE OPERACIONES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de operaciones logisticas,ADMINISTRACION DE OPERACIONES LOGISTICAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de organizaciones de salud,ADMINISTRACION DE ORGANIZACIONES DE SALUD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de organizaciones deportivas,ADMINISTRACION DE ORGANIZACIONES DEPORTIVAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
